2025-12-24 08:50:27.214 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;01010131
2025-12-24 08:51:21.975 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000036083315180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000066

2025-12-24 08:51:22.981 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000037083316180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB0000000000000000000000000601010400008F

2025-12-24 08:51:23.985 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000038083317180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000072

2025-12-24 08:51:24.688 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000039083318180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000FB

2025-12-24 08:51:25.695 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000003A083319180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000066

2025-12-24 08:51:26.703 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000003B08331A180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000F5

2025-12-24 08:51:28.212 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000003C08331B180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB0000000000000000000000000601010400006E

2025-12-24 08:51:28.917 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000003D08331C180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000BB

2025-12-24 08:51:30.025 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000003E08331D180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000060

2025-12-24 08:51:31.030 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000003F08331E180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000067

2025-12-24 08:51:31.791 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000004008331F180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000BC

2025-12-24 08:51:32.695 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000041083320180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000E7

2025-12-24 08:51:33.699 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000042083321180C190000000400000000000000CB00E30108000000000000000001930190018B0000000000DB00DB0000000000000000000000000601010400008F

2025-12-24 08:51:34.705 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000043083322180C190000000400000000000000CB00E30108000000000000000001930190018B0000000000DB00DB00000000000000000000000006010104000059

2025-12-24 08:51:36.015 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000044083323180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000064

2025-12-24 08:51:37.022 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000045083324180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000057

2025-12-24 08:51:38.026 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000046083325180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB0000000000000000000000000601010400006A

2025-12-24 08:51:38.830 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000047083326180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB0000000000000000000000000601010400006D

2025-12-24 08:51:39.837 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000048083327180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB0000000000000000000000000601010400005D

2025-12-24 08:51:40.845 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000049083328180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB000000000000000000000000060101040000CB

2025-12-24 08:51:41.551 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000004A083329180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB00000000000000000000000006010104000010

2025-12-24 08:51:43.058 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000004B08332A180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB000000000000000000000000060101040000F1

2025-12-24 08:51:44.066 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000004C08332B180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB0000000000000000000000000601010400008C

2025-12-24 08:51:44.871 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000004D08332C180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB0000000000000000000000000601010400003C

2025-12-24 08:51:45.877 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000004E08332D180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000046

2025-12-24 08:51:46.883 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000004F08332E180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000041

2025-12-24 08:51:47.891 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000005008332F180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000A5

2025-12-24 08:51:48.595 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000051083330180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB0000000000000000000000000601010400007F

2025-12-24 08:51:50.204 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000052083331180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB000000000000000000000000060101040000D7

2025-12-24 08:51:51.210 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000053083332180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB00000000000000000000000006010104000044

2025-12-24 08:51:51.914 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000054083333180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB0000000000000000000000000601010400004B

2025-12-24 08:51:52.920 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000055083334180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB0000000000000000000000000601010400005A

2025-12-24 08:51:53.926 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000056083335180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB00000000000000000000000006010104000081

2025-12-24 08:51:54.932 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000057083336180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB000000000000000000000000060101040000A4

2025-12-24 08:51:55.635 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000058083337180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000009

2025-12-24 08:51:57.145 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000059083338180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000C6

2025-12-24 08:51:58.151 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000005A083339180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB0000000000000000000000000601010400003F

2025-12-24 08:51:58.956 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000005B08333A180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000B7

2025-12-24 08:51:59.963 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000005C08333B180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB0000000000000000000000000601010400007C

2025-12-24 08:52:00.970 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000005D083400180C190000000400000000000000CB00E30108000000000000000001920190018B0000000000DB00DB00000000000000000000000006010104000082

